Worm number,Experiment Name,Plate ID,Well Location,Dosage,Strain,Any worm detected,Last day of observation,Last day of health,Manual Censor,Runoff Censor inital,Runoff Censor experiment,Potentially still alive,Death Detected
1,3HAA_dose_response_OP50_001,3HAA_1,1,Control,n2,0,4,0,0,1,0,0,0
2,3HAA_dose_response_OP50_001,3HAA_1,2,Control,n2,1,10,9,0,0,0,0,1
3,3HAA_dose_response_OP50_001,3HAA_1,3,Control,n2,1,19,15,0,0,0,0,1
4,3HAA_dose_response_OP50_001,3HAA_1,4,Control,n2,0,1,0,0,1,0,0,0
5,3HAA_dose_response_OP50_001,3HAA_1,5,Control,n2,1,17,17,0,0,1,0,0
6,3HAA_dose_response_OP50_001,3HAA_1,6,Control,n2,1,28,12,0,0,0,0,1
7,3HAA_dose_response_OP50_001,3HAA_1,7,Control,n2,1,22,13,0,0,0,0,1
8,3HAA_dose_response_OP50_001,3HAA_1,8,Control,n2,1,11,10,0,0,0,0,1
9,3HAA_dose_response_OP50_001,3HAA_1,9,Control,n2,1,10,9,0,0,0,0,1
10,3HAA_dose_response_OP50_001,3HAA_1,10,Control,n2,1,45,14,0,0,0,1,0
11,3HAA_dose_response_OP50_001,3HAA_1,11,Control,n2,1,19,18,0,0,0,0,1
12,3HAA_dose_response_OP50_001,3HAA_1,12,Control,n2,0,1,0,0,1,0,0,0
13,3HAA_dose_response_OP50_001,3HAA_1,13,Control,n2,1,13,12,0,0,0,0,1
14,3HAA_dose_response_OP50_001,3HAA_1,14,Control,n2,1,11,12,0,0,0,0,1
15,3HAA_dose_response_OP50_001,3HAA_1,15,Control,n2,1,16,14,0,0,0,0,1
16,3HAA_dose_response_OP50_001,3HAA_1,16,Control,n2,1,16,15,0,0,0,0,1
17,3HAA_dose_response_OP50_001,3HAA_1,17,Control,n2,1,7,6,0,0,0,0,1
18,3HAA_dose_response_OP50_001,3HAA_1,18,Control,n2,1,18,15,0,0,0,0,1
19,3HAA_dose_response_OP50_001,3HAA_1,19,Control,n2,1,32,23,0,0,0,0,1
20,3HAA_dose_response_OP50_001,3HAA_1,20,Control,n2,1,24,17,0,0,0,0,1
21,3HAA_dose_response_OP50_001,3HAA_1,21,Control,n2,1,15,16,0,0,0,0,1
22,3HAA_dose_response_OP50_001,3HAA_1,22,Control,n2,1,11,10,0,0,0,0,1
23,3HAA_dose_response_OP50_001,3HAA_1,23,Control,n2,1,18,18,0,0,1,0,0
24,3HAA_dose_response_OP50_001,3HAA_1,24,Control,n2,1,16,16,0,0,1,0,0
25,3HAA_dose_response_OP50_001,3HAA_1,25,Control,n2,1,13,13,0,0,1,0,0
26,3HAA_dose_response_OP50_001,3HAA_1,26,Control,n2,1,29,23,0,0,0,0,1
27,3HAA_dose_response_OP50_001,3HAA_1,27,Control,n2,1,21,21,0,0,1,0,0
28,3HAA_dose_response_OP50_001,3HAA_1,28,Control,n2,1,15,13,0,0,0,0,1
29,3HAA_dose_response_OP50_001,3HAA_1,29,Control,n2,1,23,20,0,0,0,0,1
30,3HAA_dose_response_OP50_001,3HAA_1,30,Control,n2,1,9,5,0,0,0,0,1
31,3HAA_dose_response_OP50_001,3HAA_1,31,Control,n2,1,14,14,0,0,1,0,0
32,3HAA_dose_response_OP50_001,3HAA_1,32,Control,n2,1,21,20,0,0,0,0,1
33,3HAA_dose_response_OP50_001,3HAA_1,33,Control,n2,1,11,11,0,0,1,0,0
34,3HAA_dose_response_OP50_001,3HAA_1,34,Control,n2,1,7,7,0,0,1,0,0
35,3HAA_dose_response_OP50_001,3HAA_1,35,Control,n2,1,17,13,0,0,0,0,1
36,3HAA_dose_response_OP50_001,3HAA_1,36,Control,n2,1,13,11,0,0,0,0,1
37,3HAA_dose_response_OP50_001,3HAA_1,37,Control,n2,1,20,12,0,0,0,0,1
38,3HAA_dose_response_OP50_001,3HAA_1,38,Control,n2,1,17,16,0,0,0,0,1
39,3HAA_dose_response_OP50_001,3HAA_1,39,Control,n2,1,4,5,0,0,0,0,1
40,3HAA_dose_response_OP50_001,3HAA_1,40,Control,n2,1,19,15,0,0,0,0,1
41,3HAA_dose_response_OP50_001,3HAA_1,41,Control,n2,1,8,8,0,0,1,0,0
42,3HAA_dose_response_OP50_001,3HAA_1,42,Control,n2,1,20,20,0,0,1,0,0
43,3HAA_dose_response_OP50_001,3HAA_1,43,Control,n2,1,12,13,0,0,0,0,1
44,3HAA_dose_response_OP50_001,3HAA_1,44,Control,n2,1,21,17,0,0,0,0,1
45,3HAA_dose_response_OP50_001,3HAA_1,45,Control,n2,1,13,12,0,0,0,0,1
46,3HAA_dose_response_OP50_001,3HAA_1,46,Control,n2,1,10,10,0,0,1,0,0
47,3HAA_dose_response_OP50_001,3HAA_1,47,Control,n2,1,19,18,0,0,0,0,1
48,3HAA_dose_response_OP50_001,3HAA_1,48,Control,n2,1,31,19,0,0,0,0,1
49,3HAA_dose_response_OP50_001,3HAA_1,49,Control,n2,1,2,0,0,1,0,0,0
50,3HAA_dose_response_OP50_001,3HAA_1,50,Control,n2,1,11,11,0,0,1,0,0
51,3HAA_dose_response_OP50_001,3HAA_1,51,Control,n2,1,6,5,0,0,0,0,1
52,3HAA_dose_response_OP50_001,3HAA_1,52,Control,n2,1,7,6,0,0,0,0,1
53,3HAA_dose_response_OP50_001,3HAA_1,53,Control,n2,1,24,23,0,0,0,0,1
54,3HAA_dose_response_OP50_001,3HAA_1,54,Control,n2,1,7,6,0,0,0,0,1
55,3HAA_dose_response_OP50_001,3HAA_1,55,Control,n2,1,5,5,0,0,1,0,0
56,3HAA_dose_response_OP50_001,3HAA_1,56,Control,n2,1,23,9,0,0,0,0,1
57,3HAA_dose_response_OP50_001,3HAA_1,57,Control,n2,1,27,15,0,0,0,0,1
58,3HAA_dose_response_OP50_001,3HAA_1,58,Control,n2,1,7,0,0,1,0,0,0
59,3HAA_dose_response_OP50_001,3HAA_1,59,Control,n2,1,28,8,0,0,0,0,1
60,3HAA_dose_response_OP50_001,3HAA_1,60,Control,n2,1,17,13,0,0,0,0,1
61,3HAA_dose_response_OP50_001,3HAA_1,61,0.01mM 3HAA,n2,1,18,10,0,0,0,0,1
62,3HAA_dose_response_OP50_001,3HAA_1,62,0.01mM 3HAA,n2,1,15,9,0,0,0,0,1
63,3HAA_dose_response_OP50_001,3HAA_1,63,0.01mM 3HAA,n2,1,23,19,0,0,0,0,1
64,3HAA_dose_response_OP50_001,3HAA_1,64,0.01mM 3HAA,n2,1,13,11,0,0,0,0,1
65,3HAA_dose_response_OP50_001,3HAA_1,65,0.01mM 3HAA,n2,1,17,14,0,0,0,0,1
66,3HAA_dose_response_OP50_001,3HAA_1,66,0.01mM 3HAA,n2,1,16,12,0,0,0,0,1
67,3HAA_dose_response_OP50_001,3HAA_1,67,0.01mM 3HAA,n2,1,16,11,0,0,0,0,1
68,3HAA_dose_response_OP50_001,3HAA_1,68,0.01mM 3HAA,n2,1,19,15,0,0,0,0,1
69,3HAA_dose_response_OP50_001,3HAA_1,69,0.01mM 3HAA,n2,1,16,14,0,0,0,0,1
70,3HAA_dose_response_OP50_001,3HAA_1,70,0.01mM 3HAA,n2,1,19,12,0,0,0,0,1
71,3HAA_dose_response_OP50_001,3HAA_1,71,0.01mM 3HAA,n2,1,14,12,0,0,0,0,1
72,3HAA_dose_response_OP50_001,3HAA_1,72,0.01mM 3HAA,n2,1,7,6,0,0,0,0,1
73,3HAA_dose_response_OP50_001,3HAA_1,73,0.01mM 3HAA,n2,1,10,8,0,0,0,0,1
74,3HAA_dose_response_OP50_001,3HAA_1,74,0.01mM 3HAA,n2,1,18,15,0,0,0,0,1
75,3HAA_dose_response_OP50_001,3HAA_1,75,0.01mM 3HAA,n2,1,20,15,0,0,0,0,1
76,3HAA_dose_response_OP50_001,3HAA_1,76,0.01mM 3HAA,n2,1,25,20,0,0,0,0,1
77,3HAA_dose_response_OP50_001,3HAA_1,77,0.01mM 3HAA,n2,1,15,13,0,0,0,0,1
78,3HAA_dose_response_OP50_001,3HAA_1,78,0.01mM 3HAA,n2,1,17,14,0,0,0,0,1
79,3HAA_dose_response_OP50_001,3HAA_1,79,0.01mM 3HAA,n2,1,18,17,0,0,0,0,1
80,3HAA_dose_response_OP50_001,3HAA_1,80,0.01mM 3HAA,n2,1,18,13,0,0,0,0,1
81,3HAA_dose_response_OP50_001,3HAA_1,81,0.01mM 3HAA,n2,1,19,17,0,0,0,0,1
82,3HAA_dose_response_OP50_001,3HAA_1,82,0.01mM 3HAA,n2,1,13,11,0,0,0,0,1
83,3HAA_dose_response_OP50_001,3HAA_1,83,0.01mM 3HAA,n2,1,17,13,0,0,0,0,1
