Box,Backup Box,Tube,# of tubes in box,GLS Strain,Strain,Genotype,Sequence,Long Genotype,Outcrossed,Species,Freeze Date,Test Thaw Date,Added by,Source,Notes
5,2,82,3,GLS82,N2,wild type,,wild type,,C. elegans,,,George Sutphin,Kaeberlein Lab,Obtained from a fresh thaw from the Kaeberlein lab in January 2014. Use this strain (or refreezes of this strain).
7,2,128,,GLS128,N2,wild type,,wild type,,C. elegans,2015-10-14 00:00:00,,George Sutphin,Kaeberlein Lab,"Refrozen from GS82 on 10/14/2015. Current tubes labeled 149, refreeze of GLS128. "
8,2,149,4,GLS149,N2,wild type,,wild type,,C. elegans,2016-07-21 00:00:00,,George Sutphin,Kaeberlein Lab,Refrozen from GS128 on 7/21/2016.
21-54,6-21,,2,,N2,wildtype ,,,,,,,,,
,,,,,,,,,,,,,,,
7,2,130,0,GLS130,GLS130,haao-1,K06A4.5,haao-1(tm4627)V,5,C. elegans,,,Grant Backer,Korstanje Lab,Backcrossed strain FX04627 (GS119) 5x to N2 (Kaeberlein Lab; GS127).
9,3-A4,164,2,GLS164,GLS130,haao-1,K06A4.5,haao-1(tm4627)V,5,C. elegans,,,Grant Backer,Korstanje Lab,"Backcrossed strain FX04627 (GS119) 5x to N2 (Kaeberlein Lab; GS127). Refrozen from GS130 on 1/19/2017. Last tube taken from back up box, refrozen on 1/17/2024"
9,3-B4,173,2,GLS173,GLS130,haao-1(tm4627),K06A4.5,haao-1(tm4627)V,5,C. elegans,2018-02-06 00:00:00,,Hope Dang,Korstanje Lab,Backcrossed strain FX04627 (GS119) 5x to N2 (Kaeberlein Lab; GS127). Refrozen from GS130 on 1/19/2017.
21-73,6-17,,3,,GLS130,haao-1,,,,,,,,,
,,,,,,,,,,,,,,,
7,2,129,4,GLS129,GLS129,kynu-1,C15H9.7,kynu-1(tm4924)X,5,C. elegans,2015-11-10 00:00:00,,Grant Backer,Korstanje Lab,Backcrossed strain FX04924 (GS118) 5x to N2 (Kaeberlein Lab; GS127). Refrozen June 2025
9,3-A5,165,1,GLS165,GLS129,kynu-1,C15H9.7,kynu-1(tm4924)X,5,C. elegans,2015-11-10 00:00:00,,Grant Backer,Korstanje Lab,"Backcrossed strain FX04924 (GS118) 5x to N2 (Kaeberlein Lab; GS127). . Refrozen from GS129 on 2/2/2017.Last tube taken from back up box, refrozen on 1/17/2024"
,,,,,,,,,,,,,,,
13-F1,4-B1,,3,,SUN01,tdo-2(syb2675),,tdo-2(syb2675),,C. elegans,2020-07-13 00:00:00,,Hope Dang,"Constructed by SunyBiotech, order ID SU01",PHX2675. Tubes labeled SU01
,,,,,,,,,,,,,,,
8,2,144,3,GLS144,GLS144,daf-16,R13H8.1,daf-16(mu86)I,21,C. elegans,,,Grant Backer,Korstanje Lab,Backcrossed strain CF1038 (GS93) 5x to N2 (Kaeberlein Lab; GS127). Dauer defective. Short lived. Backcrossed 5x from CF1038 (GS93).
22-6,6-23,,4,,GLS144,daf-16,,,,,,,,,
,,,,,,,,,,,,,,,
12-28,3-H4,,4,,QV225,skn-1,,skn-1(zj15) IV,4,C. elegans,,,Emily Turner,CGC,Hypomorphic allele of skn-1 that may be propagated as a homozygote. High rate of embryonic lethality and slightly lower brood size compared to N2
,,,,,,,,,,,,,,,
5,2,95,3,GLS95,ZG31,hif-1,F38A6.3,hif-1(ia4)V,9,C. elegans,,,George Sutphin,CGC,"Healthy and fertile in standard lab conditions, but unable to adapt to 1% oxygen."
21-55,6-13,,3,,ZG31,hif-1(ia4),,,,,,,,,
,,,,,,,,,,,,,,,
12-41,3-H7,,4,,GR2245,skn-1,T19E7.2,skn-1(mg570) IV,1,C. elegans,,,Emily Turner,CGC,"*Tubes in freezer labeled incorrectly as ""GI22245"". Superficially wild-type. "
,,,,,,,,,,,,,,,
8,2,145,2,GLS145,GLS145,hif-1,F38A6.3,hif-1(ia4)V,19,C. elegans,,,Grant Backer,Korstanje Lab,"Backcrossed strain ZG31 (GS95) 5x to N2 (Kaeberlein Lab; GS127). Healthy and fertile in standard lab conditions, but unable to adapt to 1% oxygen. Backcrossed 5x from ZG31 (GS95)."
,,,,,,,,,,,,,,,
12-50,3-H9,,3,,JT10800,ncr-2(nr2023); ncr-1(nr2022),,ncr-2(nr2023) III; ncr-1(nr2022) X,,C. elegans,,2020-11-11 00:00:00,Emily Turner,CGC,"Daf-c (partial dauer), vulval abnormalities, broken alae, gonadal migration defects, low brood size, short lifespan. Strain is healthier when recovered from starved plates by chunking than when continuously propagated. Do not distribute this strain; other labs should request it from the CGC. This strain cannot be distributed to commercial organizations. This strain cannot be used for any commercial purpose or for work on human subjects."
,,,,,,,,,,,,,,,
14-A5,4-C3,,4,,COP677,ncr-1,,ncr-1(knu4) X,,C. elegans,,2020-11-11 00:00:00,Emily Turner,CGC,Cholesterol-sensitive. Smaller broods and sizes upon serial cholesterol deprivation. This strain may not be distributed to commercial or for-profit entities. Please contact ethan@perlara.com for more information.
,,,,,,,,,,,,,,,
14-I1,4-D9,,4,,VC343,glod-4,C16C10.10,glod-4(gk189) III,,,2025-04-02 00:00:00,2025-04-07 00:00:00,Emily Gardea,CGC,"Superficially wild type. Attribution: This strain was provided by the C. elegans Reverse Genetics Core Facility at the University of British Columbia, which is part of the international C. elegans Gene Knockout Consortium, which should be acknowledged in any publications resulting from its use"
,,,,,,,,,,,,,,,
14-H5,4-D8,,4,,VH725,glod-4(OE),,hdEx231 [C16C10.10::GFP + pha-1(+)],,,2025-04-02 00:00:00,2025-04-07 00:00:00,Emily Gardea,CGC,Ubiquitous expression of glyoxalase-1::GFP. Maintain at 25 C. Reference: Morcos M et al. (2008) Aging Cell 7(2):260-9.
,,,,,,,,,,,,,,,
10-14,3-C6,,4,,JIN1375,hlh-30,,hlh-30(tm1978) IV,,,2025-05-01 00:00:00,2025-05-19 00:00:00,Hope Dang,CGC,"Superficially wild-type. Grows at standard conditions. Reference: Settembre C, et al. Nat Cell Biol. 2013 Jun;15(6):647-58. Refrozen June 2025"
,,,,,,,,,,,,,,,
11-5,3-E6,,4,,CE541,sbp-1,,sbp-1(ep79) III,,,2025-05-01 00:00:00,2025-05-19 00:00:00,Hope Dang,CGC,"Slow growth, low fat stores. Viable at 15C, not at 25C. Slightly Dpy, reduced brood size, low penetrance. Maintain under normal conditions. Reference: Liang et al., (2010) PlosOne 5:3 e9869."
,,,,,,,,,,,,,,,
22-91,6-42,,5,,STE68,nhr-49(nr2041) I.,,,,,,,,CGC,"Pathare PP, et al. PLoS Genet. 2012 Apr;8(4):e1002645."
,,,,,,,,,,,,,,,
13-H5,4-B6,,1,,CL2166,gst-4p::GFP,,dvIs19 [(pAF15)gst-4p::GFP::NLS] III,,C. elegans,,,Hope Dang,CGC,Oxidative stress-inducible GFP.
,,,,,,,,,,,,,,,
17-68,5-16,,4,,EG7565,eft-3p::tdTomato,,unc-119(ed3) III; oxTi392[eft-3p::tdTomato::H2B::unc-54 3'UTR + Cbr-unc-119(+)] V.,,C. elegans,,,,,
,,,,,,,,,,,,,,,
24-1,6-66,,4,GLS473,GLS473,TJ356(daf-16::GFP oe) x EG7565 (H2B nuclear marker),,,,,,,,,TJ356(daf-16::GFP oe) x EG7565 (H2B nuclear marker)
,,,,,,,,,,,,,,,
5,2,88,4,GLS88,DA465,eat-2,Y48B6A.4,eat-2(ad465)II,,C. elegans,,,George Sutphin,CGC,
,,,,,,,,,,,,,,,
4,1,68,4,GLS68,TJ356,DAF-16::GFP(oe),R13H8.1,zIs356[daf-16::GFP rol-6]IV,5,C. elegans,,,George Sutphin,CGC,"Daf-c, Rol, Fluorescent DAF-16::GFP, Age, increased resistance to heat and UV. Grows and reproduces slowly. Maintain at 20C.  Integrated by gamma irradiation of extrachromosomal (Ex daf-16::GFP) line. Reference: Curr Biol 11, 1950-1957.Lin, K., Hsin, H., Libina, N., and Kenyon, C. (2001). Nat Genet 28, 139-145."
21-46,6-11,,3,,TJ356,DAF-16::GFP(oe),,,,,,,,,
,,,,,,,,,,,,,,,
