Box,Backup Box,Tube,# of tubes in box,GLS Strain,Strain,Genotype,Sequence,Long Genotype,Outcrossed,Species,Freeze Date,Test Thaw Date,Added by,Source,Notes
5,2,82.0,3.0,GLS82,N2,wild type,,wild type,,C. elegans,,,George Sutphin,Kaeberlein Lab,Obtained from a fresh thaw from the Kaeberlein lab in January 2014. Use this strain (or refreezes of this strain).
7,2,128.0,,GLS128,N2,wild type,,wild type,,C. elegans,2015-10-14,,George Sutphin,Kaeberlein Lab,"Refrozen from GS82 on 10/14/2015. Current tubes labeled 149, refreeze of GLS128. "
8,2,149.0,4.0,GLS149,N2,wild type,,wild type,,C. elegans,2016-07-21,,George Sutphin,Kaeberlein Lab,Refrozen from GS128 on 7/21/2016.
21-54,6-21,,2.0,,N2,wildtype ,,,,,,,,,
,,,,,,,,,,,,,,,
7,2,130.0,0.0,GLS130,GLS130,haao-1,K06A4.5,haao-1(tm4627)V,5,C. elegans,,,Grant Backer,Korstanje Lab,Backcrossed strain FX04627 (GS119) 5x to N2 (Kaeberlein Lab; GS127).
9,3-A4,164.0,2.0,GLS164,GLS130,haao-1,K06A4.5,haao-1(tm4627)V,5,C. elegans,,,Grant Backer,Korstanje Lab,"Backcrossed strain FX04627 (GS119) 5x to N2 (Kaeberlein Lab; GS127). Refrozen from GS130 on 1/19/2017. Last tube taken from back up box, refrozen on 1/17/2024"
9,3-B4,173.0,2.0,GLS173,GLS130,haao-1(tm4627),K06A4.5,haao-1(tm4627)V,5,C. elegans,2018-02-06,,Hope Dang,Korstanje Lab,Backcrossed strain FX04627 (GS119) 5x to N2 (Kaeberlein Lab; GS127). Refrozen from GS130 on 1/19/2017.
21-73,6-17,,3.0,,GLS130,haao-1,,,,,,,,,
,,,,,,,,,,,,,,,
7,2,129.0,4.0,GLS129,GLS129,flu-2,C15H9.7,flu-2(tm4924)X,5,C. elegans,2015-11-10,,Grant Backer,Korstanje Lab,Backcrossed strain FX04924 (GS118) 5x to N2 (Kaeberlein Lab; GS127). Refrozen June 2025
9,3-A5,165.0,1.0,GLS165,GLS129,flu-2,C15H9.7,flu-2(tm4924)X,5,C. elegans,2015-11-10,,Grant Backer,Korstanje Lab,"Backcrossed strain FX04924 (GS118) 5x to N2 (Kaeberlein Lab; GS127). . Refrozen from GS129 on 2/2/2017.Last tube taken from back up box, refrozen on 1/17/2024"
,,,,,,,,,,,,,,,
13-F1,4-B1,,3.0,,SUN01,tdo-2(syb2675),,tdo-2(syb2675),,C. elegans,2020-07-13,,Hope Dang,"Constructed by SunyBiotech, order ID SU01",PHX2675. Tubes labeled SU01
,,,,,,,,,,,,,,,
8,2,144.0,3.0,GLS144,GLS144,daf-16,R13H8.1,daf-16(mu86)I,21,C. elegans,,,Grant Backer,Korstanje Lab,Backcrossed strain CF1038 (GS93) 5x to N2 (Kaeberlein Lab; GS127). Dauer defective. Short lived. Backcrossed 5x from CF1038 (GS93).
22-6,6-23,,4.0,,GLS144,daf-16,,,,,,,,,
,,,,,,,,,,,,,,,
12-28,3-H4,,4.0,,QV225,skn-1,,skn-1(zj15) IV,4,C. elegans,,,Emily Turner,CGC,Hypomorphic allele of skn-1 that may be propagated as a homozygote. High rate of embryonic lethality and slightly lower brood size compared to N2
,,,,,,,,,,,,,,,
5,2,95.0,3.0,GLS95,ZG31,hif-1,F38A6.3,hif-1(ia4)V,9,C. elegans,,,George Sutphin,CGC,"Healthy and fertile in standard lab conditions, but unable to adapt to 1% oxygen."
21-55,6-13,,3.0,,ZG31,hif-1(ia4),,,,,,,,,
,,,,,,,,,,,,,,,
12-41,3-H7,,4.0,,GR2245,skn-1,T19E7.2,skn-1(mg570) IV,1,C. elegans,,,Emily Turner,CGC,"*Tubes in freezer labeled incorrectly as ""GI22245"". Superficially wild-type. "
,,,,,,,,,,,,,,,
8,2,145.0,2.0,GLS145,GLS145,hif-1,F38A6.3,hif-1(ia4)V,19,C. elegans,,,Grant Backer,Korstanje Lab,"Backcrossed strain ZG31 (GS95) 5x to N2 (Kaeberlein Lab; GS127). Healthy and fertile in standard lab conditions, but unable to adapt to 1% oxygen. Backcrossed 5x from ZG31 (GS95)."
